cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1
"(1.22, 179.81)",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"(1.34, 167.78)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"(1.77, 84.77)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"(1.82, 155.61)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
"(1.83, 281.05)",0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,14,0,1
"(1.95, 782.09)",2,5,6,0,0,0,1,11,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,22,0,0
"(10.36, 500.59)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
"(10.36, 525.95)",2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,1
"(10.37, 1554.35)",0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0
"(10.40, 157.04)",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,16,0,0
"(10.45, 128.09)",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,17,0,0
"(10.57, 1805.11)",0,5,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,3,0,0
"(10.60, 1915.50)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"(10.93, 1432.84)",3,8,5,0,0,3,3,4,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,21,0,0,1,0,10,0,0
"(100.00, 2002.76)",0,11,0,0,0,0,1,0,0,0,1,4,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,12,0,4
"(100.21, 481.02)",2,0,0,0,1,0,0,1,0,2,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,4,2,5
"(100.35, 2853.05)",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0
"(100.47, 1945.97)",0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"(1000.30, 2299.17)",0,2,7,0,0,2,6,3,0,0,6,2,0,2,0,0,10,4,0,1,2,3,1,0,1,1,2,17,2,2,0,1,0,0,13,0,0,0,0,8,2,0,0,0,0,0,0,11,0,0,0,4,34,0,2,0,0,26,11,3
"(1000.32, 2484.53)",3,4,6,1,0,1,13,14,0,0,13,23,3,0,0,4,13,0,1,4,7,4,0,6,3,2,6,4,4,9,0,8,1,0,11,0,0,0,0,17,12,0,0,0,0,0,18,12,0,0,0,2,29,0,0,1,2,31,10,8
"(1000.78, 1657.84)",0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,8,1,0
"(1000.81, 832.52)",0,4,1,0,0,0,1,1,0,0,2,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"(1000.82, 2657.54)",3,2,3,1,0,0,1,3,0,4,1,1,0,0,0,0,5,0,0,1,1,0,0,1,0,0,1,0,3,10,0,4,0,0,3,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,1,3,1,1,0,0,0,19,0,1
"(1000.96, 2721.44)",3,4,5,0,0,0,0,0,0,1,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,3,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,5,0,0,3,0,0
"(1001.02, 724.26)",0,1,0,0,0,0,3,3,0,0,1,1,1,4,0,0,4,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,3,14,0,0,0,0,5,3,2
"(1001.11, 444.77)",6,3,2,0,0,0,2,2,0,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,1,3,1,0,0,0,9,1,4
"(1001.26, 386.94)",2,4,2,0,0,1,1,1,0,0,18,14,0,2,0,0,10,0,2,0,1,0,0,3,0,0,0,3,6,10,0,0,2,0,2,0,0,0,0,3,1,2,0,0,0,0,17,3,0,0,0,8,6,0,1,0,0,21,1,3
"(1001.35, 1754.16)",3,5,2,0,0,1,2,1,0,2,3,5,0,0,0,1,11,1,0,0,0,1,0,2,0,1,0,2,6,1,0,0,0,0,2,0,0,0,0,6,18,0,1,0,0,0,0,10,0,0,0,3,2,0,1,0,0,15,6,0
"(1001.80, 2240.40)",2,2,3,2,0,0,16,3,0,0,11,1,1,2,5,2,4,2,0,22,27,1,1,3,1,0,2,5,7,90,0,52,2,1,10,0,5,0,4,9,10,12,0,0,0,0,0,10,0,3,0,2,21,0,0,0,1,51,0,1
"(1002.42, 1620.36)",7,1,2,0,0,0,1,3,0,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0
"(1002.47, 817.55)",3,1,0,1,0,0,2,1,0,2,5,3,0,3,0,1,2,0,0,0,0,0,1,0,0,0,1,3,0,8,0,0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,6,6,2,0,0,0,5,8,3
"(1002.48, 171.95)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"(1002.77, 1183.39)",0,0,0,0,0,0,0,1,0,0,4,5,0,0,0,0,3,0,0,0,1,0,0,0,0,1,1,2,2,6,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,8,0,1
