,cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col4a1,Col6a1,Col6a2,Col6a3,Ddx60,Dhx58,Gzma,H5NA,HA,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,M,NP,NS,Nectin2,PA,PA.97T,PA.T97I,PB1,PB2,PB2.192E,PB2.220I,PB2.627E,PB2.E192K,PB2.E627K,PB2.I220V,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1,cluster
0,"(10.56, 2466.79)",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,Epithelial_cells
1,"(100.36, 1423.40)",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,Undefined
2,"(1000.12, 2140.72)",0,0,0,0,0,0,0,0,0,3,1,7,0,3,0,0,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,3,0,0,3,Fibroblasts
3,"(1000.16, 2159.07)",2,0,0,0,0,0,0,0,1,0,1,6,0,3,0,0,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,1,0,0,2,Fibroblasts
4,"(1000.22, 719.89)",0,2,0,0,0,1,0,0,0,0,3,5,0,6,2,0,6,0,1,1,0,0,1,1,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,7,1,0,0,0,8,7,0,0,0,0,0,1,4,Macrophages
5,"(1001.13, 1037.80)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,1,0,0,1,Undefined
6,"(1001.58, 1227.70)",0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,11,5,0,0,0,0,0,0,0,Undefined
7,"(1001.64, 1102.94)",1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,8,0,0,1,3,8,4,0,0,0,0,1,0,Epithelial_cells
8,"(1001.64, 2501.42)",2,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,2,Endothelial_cells
9,"(1002.42, 1145.40)",7,2,0,0,2,0,0,0,0,8,3,3,0,2,1,0,4,1,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,4,0,0,0,1,0,0,5,Endothelial_cells
10,"(1002.79, 1057.90)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,7,0,0,0,0,0,0,3,Undefined
11,"(1003.02, 2089.86)",1,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,Undefined
12,"(1003.81, 1311.54)",2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,2,Fibroblasts
13,"(1003.92, 1011.70)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,1,Epithelial_cells
14,"(1004.73, 620.12)",0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,9,0,0,1,0,2,0,2,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,5,0,10,3,1,12,0,1,0,0,3,Neutrophils
15,"(1005.89, 1925.65)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,2,Epithelial_cells
16,"(1006.28, 985.23)",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,2,Fibroblasts
