,cell,Agbl1,Bank1,Ccl5,Ccr9,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Ddx60,Dhx58,Gzma,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sftpa1,Sftpb,St8sia6,Stat1,Usp18,Znfx1,unknow,cluster
0,"(10.03, 792.90)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,Undefined
1,"(10.04, 734.41)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,Undefined
2,"(10.41, 252.07)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Undefined
3,"(10.74, 118.08)",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,Epithelial_cells
4,"(100.25, 599.13)",2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,B_cells
5,"(100.65, 922.09)",0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,B_cells
6,"(100.75, 2392.52)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Undefined
7,"(100.84, 1740.04)",0,2,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,1,NK_cells
8,"(100.93, 496.89)",2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,Undefined
9,"(100.94, 1717.71)",0,7,1,0,0,0,0,1,3,5,0,0,0,0,0,1,0,0,0,5,0,3,0,1,0,0,0,0,2,0,0,23,5,2,Endothelial_cells
10,"(1000.08, 1810.40)",0,1,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,2,Fibroblasts
11,"(1000.36, 1993.80)",1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,1,Macrophages
12,"(1000.48, 2429.02)",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,4,0,1,Epithelial_cells
13,"(1000.70, 2411.93)",0,26,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,1,16,1,0,1,13,2,B_cells
14,"(1000.72, 379.97)",0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,4,2,2,B_cells
15,"(1000.78, 155.28)",0,5,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,3,1,B_cells
16,"(1000.87, 2151.64)",4,7,0,0,0,0,0,1,20,3,0,0,0,0,1,0,0,0,0,9,0,0,1,0,0,0,1,0,0,0,3,1,14,5,Fibroblasts
17,"(1000.88, 1760.01)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,Undefined
18,"(1001.25, 104.98)",1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,Fibroblasts
19,"(1001.27, 2353.18)",1,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NK_cells
20,"(1001.56, 237.12)",2,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,3,1,Neutrophils
21,"(1002.24, 2395.56)",3,3,2,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,1,0,0,0,4,2,Macrophages
22,"(1002.34, 2804.08)",0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,B_cells
