,cell,Agbl1,Angptl4,Bank1,Ccl5,Ccr9,Cd226,Cd44,Cd79a,Chil3,Cldn5,Col1a2,Col3a1,Col6a1,Ddx60,Dhx58,Gzma,Ifi30,Ifi35,Ifih1,Ifit1,Ifit2,Ifit3,Isg15,Kcnip4,Nectin2,Pkib,Prickle2,Retnlg,Rsad2,S100a8,S100a9,Samhd1,Sdc2,Sdc4,Sftpa1,Sftpb,St8sia6,Stat1,Tlr4,Usp18,Znfx1,unknow,cluster
0,"(100.07, 1158.57)",7,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,2,13,12,0,0,0,1,0,6,Epithelial_cells
1,"(100.48, 1204.00)",3,0,0,0,1,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,0,1,0,0,0,0,0,2,Endothelial_cells
2,"(100.83, 608.94)",0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,10,1,1,1,1,0,0,0,0,7,B_cells
3,"(1000.36, 2786.07)",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,B_cells
4,"(1002.85, 2189.41)",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Epithelial_cells
5,"(1005.94, 535.17)",1,0,1,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,10,0,0,0,0,4,0,Epithelial_cells
6,"(1006.65, 769.07)",1,0,0,0,0,0,0,0,0,1,2,1,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,3,0,0,0,1,0,0,0,1,Undefined
7,"(1007.77, 2140.25)",0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,2,0,0,1,0,Endothelial_cells
8,"(1008.29, 1975.28)",4,0,0,0,0,0,0,0,0,2,2,2,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,2,Undefined
9,"(1008.78, 2112.14)",0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fibroblasts
10,"(1009.13, 583.51)",0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,B_cells
11,"(1009.64, 2030.66)",0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,NK_cells
12,"(101.48, 2550.41)",3,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,5,4,5,6,0,0,0,0,0,0,Neutrophils
13,"(1010.36, 1052.29)",1,0,0,0,0,0,0,0,1,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,3,0,0,0,0,3,0,Undefined
14,"(1010.69, 557.95)",0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,4,3,B_cells
15,"(1011.49, 2300.23)",1,0,0,1,1,0,0,0,0,1,5,2,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,3,0,3,0,0,0,0,1,0,Fibroblasts
16,"(1014.29, 2531.05)",6,0,0,0,0,0,0,0,0,16,3,3,2,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,10,10,0,0,1,0,0,0,6,3,Endothelial_cells
17,"(1014.52, 2074.75)",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,NK_cells
18,"(1015.35, 1001.45)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,Epithelial_cells
19,"(1016.64, 671.92)",1,0,0,0,0,0,0,5,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,B_cells
20,"(1016.68, 1388.03)",0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,0,0,0,4,1,Neutrophils
21,"(1016.92, 1363.66)",1,1,0,0,0,0,0,0,0,1,3,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,2,2,5,0,0,0,0,1,1,Fibroblasts
22,"(1017.70, 624.38)",3,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Undefined
23,"(1018.46, 2798.81)",3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,Epithelial_cells
24,"(1018.85, 1643.24)",1,0,0,1,0,0,0,0,0,0,3,6,1,4,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,7,3,0,3,0,0,0,0,3,0,Fibroblasts
25,"(1019.21, 2173.69)",0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,1,1,Undefined
26,"(1019.69, 496.13)",0,0,0,0,0,0,0,1,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,Undefined
27,"(1019.73, 1024.87)",0,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,2,8,0,0,0,0,0,0,B_cells
28,"(1019.81, 2242.30)",2,0,3,0,0,0,0,0,0,0,5,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,8,10,3,15,0,0,0,0,2,3,Neutrophils
29,"(102.62, 177.78)",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Neutrophils
30,"(1020.18, 1872.79)",0,0,0,0,0,0,0,3,0,0,7,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,2,0,Fibroblasts
31,"(1020.84, 468.04)",0,0,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,Endothelial_cells
32,"(1020.97, 1733.60)",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,3,0,Epithelial_cells
33,"(1021.87, 1802.57)",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B_cells
34,"(1026.07, 2220.99)",0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Neutrophils
35,"(1026.65, 2611.88)",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,Undefined
36,"(1027.05, 2122.61)",0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,1,0,0,2,0,Fibroblasts
37,"(1030.69, 2034.23)",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Fibroblasts
38,"(1031.01, 352.75)",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,0,2,0,0,1,2,Endothelial_cells
39,"(1032.79, 1834.77)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,Undefined
40,"(1033.31, 512.68)",0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,B_cells
41,"(1033.55, 257.06)",4,0,1,1,0,0,0,1,0,1,9,6,4,10,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,22,2,0,0,0,1,0,0,8,0,Fibroblasts
42,"(1034.43, 1437.27)",2,0,2,0,0,0,0,0,0,1,3,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,6,0,Fibroblasts
43,"(1035.38, 916.02)",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,11,0,0,0,0,0,1,Epithelial_cells
44,"(1035.84, 2636.96)",1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Undefined
45,"(1036.26, 646.58)",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,B_cells
46,"(1036.64, 277.21)",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,Undefined
47,"(1036.81, 800.05)",1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,8,2,0,0,0,0,0,0,8,9,Macrophages
48,"(1037.25, 1917.16)",0,1,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,Fibroblasts
49,"(1037.46, 963.92)",2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,Macrophages
